data.name,date,eur,inr,usd,btc,eth,ltc,xrp
Tether,07-07-2021,0.848132456,74.96005571,1.002526559,2.94E-05,0.000432408,,
Uniswap,07-07-2021,18.89872814,1670.725389,22.34452149,0.000654271,0.009629107,,
Stellar,07-07-2021,0.220495399,19.49270124,0.260698188,7.63E-06,0.000112345,,
Status,07-07-2021,0.061349454,5.423242993,0.072531231,2.12E-06,3.13E-05,,
Bitcoin,08-07-2021,28773.16071,2538884.382,33932.25464,1,14.64381686,,
Ethereum,08-07-2021,1964.55348,173380.6594,2317.236943,0.068201052,1,,
Dogecoin,08-07-2021,0.190767805,16.83611479,0.225015104,6.62E-06,9.71E-05,,
Binance Coin,08-07-2021,278.3228334,24563.23885,328.2883149,0.009662201,0.141672041,,
Nano,08-07-2021,3.914778989,345.496811,4.617573707,0.000135905,0.001992707,,
Litecoin,08-07-2021,116.8121457,10307.26292,137.7568322,0.004055635,0.059450391,,
Dash,08-07-2021,114.3542756,10092.27792,134.8835522,0.003969901,0.058208676,,
Swipe,08-07-2021,1.780960973,157.1483246,2.100291374,6.18E-05,0.000906531,,
NEO,08-07-2021,31.30699049,2762.982382,36.92733014,0.001086847,0.015935901,,
NEM,08-07-2021,0.112604282,9.935969679,0.132794489,3.91E-06,5.73E-05,,
Cosmos,08-07-2021,10.96338435,967.3864324,12.92914439,0.000380641,0.005579707,,
Filecoin,08-07-2021,47.93949719,4230.875727,56.54576219,0.001664258,0.024402236,,
XRP,08-07-2021,0.553652425,48.86231072,0.653046031,1.92E-05,0.00028182,,
TRON,08-07-2021,0.054639963,4.82222188,0.064449119,1.90E-06,2.78E-05,,
Cardano,08-07-2021,1.188547562,104.8946553,1.401919748,4.13E-05,0.000604969,,
Chainlink,08-07-2021,16.83697385,1485.938489,19.85960587,0.000584509,0.008570366,,
Tether,08-07-2021,0.847463466,74.81001314,0.999837737,2.92E-05,0.000430075,,
Uniswap,08-07-2021,18.99972121,1676.810647,22.41061714,0.000659591,0.009671248,,
Stellar,08-07-2021,0.219007157,19.32474004,0.258275644,7.60E-06,0.000111462,,
Status,08-07-2021,0.061145102,5.396329625,0.072122083,2.12E-06,3.11E-05,,
Bitcoin,09-07-2021,27801.43991,2460851.303,32933.5782,1,15.48545977,,
Ethereum,09-07-2021,1795.072558,158891.2898,2126.442467,0.064660885,1,,
Dogecoin,09-07-2021,0.17396977,15.39897707,0.206084543,6.27E-06,9.69E-05,,
Binance Coin,09-07-2021,262.9860433,23278.27442,311.5331958,0.009473105,0.146483772,,
Nano,09-07-2021,3.699913575,327.4987617,4.38291662,0.000133276,0.00206115,,
Litecoin,09-07-2021,111.5841916,9876.902211,132.1826032,0.00401941,0.062152626,,
Dash,09-07-2021,106.438674,9421.445455,126.0872245,0.003834062,0.059286562,,
Swipe,09-07-2021,1.642149853,145.3552989,1.945290272,5.92E-05,0.00091481,,
NEO,09-07-2021,28.77263561,2546.816931,34.08405637,0.001036428,0.016026418,,
NEM,09-07-2021,0.104003151,9.205864537,0.123202105,3.75E-06,5.79E-05,,
Cosmos,09-07-2021,10.15787955,899.1272108,12.03302136,0.0003659,0.00565796,,
Filecoin,09-07-2021,45.64754054,4040.503298,54.07406418,0.001644285,0.025425775,,
XRP,09-07-2021,0.527402674,46.6831776,0.624761065,1.90E-05,0.000293764,,
TRON,09-07-2021,0.051798102,4.584921764,0.061360018,1.87E-06,2.89E-05,,
Cardano,09-07-2021,1.136944945,100.6369619,1.346824674,4.10E-05,0.000633281,,
Chainlink,09-07-2021,15.63247839,1383.712676,18.51822967,0.000563103,0.008707323,,
Tether,09-07-2021,0.846484484,74.92154633,1.002675213,3.07E-05,0.000473905,,
Uniswap,09-07-2021,17.24604248,1526.537699,20.42965725,0.000621225,0.009606081,,
Stellar,09-07-2021,0.206999393,18.32260227,0.245211425,7.46E-06,0.000115299,,
Status,09-07-2021,0.054645929,4.836997847,0.064733552,1.97E-06,3.04E-05,,
Bitcoin,10-07-2021,28600.77529,2530544.051,33971.29775,1,15.75075038,,
Ethereum,10-07-2021,1815.647073,160645.1173,2156.580957,0.063461272,1,,
Dogecoin,10-07-2021,0.184356466,16.31152138,0.218974078,6.44E-06,0.000101527,,
Binance Coin,10-07-2021,267.9890094,23711.17518,318.3107569,0.009366866,0.147584391,,
Nano,10-07-2021,3.763807182,333.0147444,4.470557639,0.000131548,0.002072165,,
Litecoin,10-07-2021,113.7551156,10064.84363,135.1155296,0.003976017,0.062646149,,
Dash,10-07-2021,108.4932015,9599.279139,128.8655575,0.003791929,0.059730968,,
Swipe,10-07-2021,1.661058051,146.9673646,1.972963916,5.81E-05,0.000914469,,
NEO,10-07-2021,29.33355765,2595.379288,34.84167863,0.001025233,0.0161496,,
NEM,10-07-2021,0.10514374,9.302924896,0.124887149,3.67E-06,5.79E-05,,
Cosmos,10-07-2021,11.21020724,991.8585411,13.31520857,0.000391806,0.006171783,,
Filecoin,10-07-2021,46.70403085,4132.286843,55.47389965,0.001632307,0.025712769,,
